1  33.502826	 33.502826 -1.995e-17
2  33.627552	 33.627552 -3.469e-17
3  33.751813	 33.751813  2.472e-17
4  33.875551	 33.875551  1.232e-16
5  33.998710	 33.998710  1.086e-16
6  34.121231	 34.121231   4.64e-17
7  34.243057	 34.243057  2.949e-17
8  34.364132	 34.364132    1.8e-17
9  34.484398	 34.484398  4.445e-17
10  34.603800	 34.603800  8.348e-17
11  34.722281	 34.722281  5.746e-17
12  34.839786	 34.839786  1.713e-17
13  34.956261	 34.956261 -3.816e-17
14  35.071652	 35.071652 -8.977e-17
15  35.185908	 35.185908 -1.006e-16
16  35.298977	 35.298977 -1.128e-16
17  35.410806	 35.410806 -1.657e-16
18  35.521345	 35.521345 -1.694e-16
19  35.630543	 35.630543  -1.73e-16
20  35.738352	 35.738352 -2.197e-16
21  35.844724	 35.844724  -2.19e-16
22  35.949612	 35.949612 -2.095e-16
23  36.052970	 36.052970 -2.236e-16
24  36.154757	 36.154757  -2.47e-16
25  36.254928	 36.254928 -2.602e-16
26  36.353437	 36.353437  -2.93e-16
27  36.450242	 36.450242 -3.259e-16
28  36.545303	 36.545303 -3.402e-16
29  36.638583	 36.638583  -3.32e-16
30  36.730040	 36.730040  -3.09e-16
31  36.819638	 36.819638 -3.255e-16
32  36.907340	 36.907340 -3.682e-16
33  36.993111	 36.993111 -4.198e-16
34  37.076915	 37.076915 -4.779e-16
35  37.158720	 37.158720 -5.087e-16
36  37.238495	 37.238495 -4.896e-16
37  37.316210	 37.316210 -4.419e-16
38  37.391836	 37.391836 -4.068e-16
39  37.465343	 37.465343 -3.801e-16
40  37.536706	 37.536706 -3.558e-16
41  37.605898	 37.605898 -3.348e-16
42  37.672894	 37.672894 -2.971e-16
43  37.737671	 37.737671 -2.711e-16
44  37.800209	 37.800209 -2.526e-16
45  37.860485	 37.860485 -2.528e-16
46  37.918477	 37.918477 -2.873e-16
47  37.974169	 37.974169 -3.433e-16
48  38.027544	 38.027544 -3.584e-16
49  38.078583	 38.078583 -3.318e-16
50  38.127273	 38.127273 -3.745e-16
51  38.173599	 38.173599 -4.356e-16
52  38.217555	 38.217555 -4.643e-16
53  38.259127	 38.259127 -4.519e-16
54  38.298304	 38.298304 -4.727e-16
55  38.335078	 38.335078 -5.473e-16
56  38.369439	 38.369439 -6.041e-16
57  38.401380	 38.401380 -6.061e-16
58  38.430894	 38.430894 -5.513e-16
59  38.457978	 38.457978 -5.006e-16
60  38.482631	 38.482631  -4.39e-16
61  38.504851	 38.504851 -4.192e-16
62  38.524632	 38.524632 -4.429e-16
63  38.541975	 38.541975 -4.606e-16
64  38.556881	 38.556881 -4.676e-16
65  38.569352	 38.569352  -4.44e-16
66  38.579393	 38.579393 -4.383e-16
67  38.587009	 38.587009 -4.372e-16
68  38.592202	 38.592202  -4.76e-16
69  38.594977	 38.594977 -4.949e-16
70  38.595342	 38.595342 -4.731e-16
71  38.593305	 38.593305 -5.122e-16
72  38.588873	 38.588873 -5.062e-16
73  38.582056	 38.582056  -4.27e-16
74  38.572865	 38.572865 -3.808e-16
75  38.561312	 38.561312 -3.335e-16
76  38.547409	 38.547409 -2.634e-16
77  38.531168	 38.531168 -2.541e-16
78  38.512603	 38.512603 -2.679e-16
79  38.491731	 38.491731 -2.938e-16
80  38.468569	 38.468569 -3.268e-16
81  38.443133	 38.443133 -3.128e-16
82  38.415442	 38.415442  -2.47e-16
83  38.385511	 38.385511 -1.784e-16
84  38.353356	 38.353356 -1.821e-16
85  38.318996	 38.318996 -2.393e-16
86  38.282451	 38.282451 -2.645e-16
87  38.243740	 38.243740 -2.782e-16
88  38.202884	 38.202884 -3.153e-16
89  38.159905	 38.159905 -3.286e-16
90  38.114828	 38.114828 -2.964e-16
91  38.067677	 38.067677 -2.254e-16
92  38.018470	 38.018470 -1.785e-16
93  37.967233	 37.967233 -1.586e-16
94  37.913989	 37.913989  -1.57e-16
95  37.858764	 37.858764 -1.814e-16
96  37.801582	 37.801582 -1.963e-16
97  37.742469	 37.742469 -2.088e-16
98  37.681453	 37.681453 -2.574e-16
99  37.618562	 37.618562 -2.947e-16
100  37.553824	 37.553824 -3.012e-16
101  37.487264	 37.487264  -3.68e-16
102  37.418910	 37.418910 -4.554e-16
103  37.348791	 37.348791 -4.988e-16
104  37.276934	 37.276934 -5.176e-16
105  37.203369	 37.203369  -5.29e-16
106  37.128126	 37.128126 -4.984e-16
107  37.051232	 37.051232 -5.377e-16
108  36.972719	 36.972719 -6.425e-16
109  36.892616	 36.892616 -7.145e-16
110  36.810954	 36.810954 -7.252e-16
111  36.727762	 36.727762 -6.991e-16
112  36.643073	 36.643073 -6.618e-16
113  36.556916	 36.556916 -5.958e-16
114  36.469322	 36.469322 -6.153e-16
115  36.380325	 36.380325 -6.431e-16
116  36.289956	 36.289956 -5.832e-16
117  36.198244	 36.198244 -5.503e-16
118  36.105224	 36.105224 -5.493e-16
119  36.010929	 36.010929 -5.271e-16
120  35.915387	 35.915387 -5.528e-16
121  35.818634	 35.818634 -5.841e-16
122  35.720703	 35.720703 -5.593e-16
123  35.621628	 35.621628 -5.469e-16
124  35.521437	 35.521437 -5.708e-16
125  35.420166	 35.420166 -5.926e-16
126  35.317848	 35.317848 -5.889e-16
127  35.214511	 35.214511 -5.547e-16
128  35.110190	 35.110190 -5.136e-16
129  35.004918	 35.004918 -5.022e-16
130  34.898728	 34.898728 -4.886e-16
131  34.791655	 34.791655 -5.288e-16
132  34.683734	 34.683734 -5.909e-16
133  34.574996	 34.574996 -5.777e-16
134  34.465471	 34.465471 -5.707e-16
135  34.355194	 34.355194 -6.082e-16
136  34.244200	 34.244200  -5.94e-16
137  34.132526	 34.132526  -5.81e-16
138  34.020203	 34.020203 -6.371e-16
139  33.907261	 33.907261 -7.139e-16
140  33.793735	 33.793735 -7.588e-16
141  33.679658	 33.679658 -7.572e-16
142  33.565064	 33.565064 -7.673e-16
143  33.449985	 33.449985 -7.246e-16
144  33.334456	 33.334456 -6.814e-16
145  33.218509	 33.218509 -7.105e-16
146  33.102181	 33.102181 -7.162e-16
147  32.985506	 32.985506  -6.57e-16
148  32.868518	 32.868518 -6.071e-16
149  32.751251	 32.751251 -6.299e-16
150  32.633736	 32.633736 -6.347e-16
151  32.516009	 32.516009 -6.085e-16
152  32.398105	 32.398105 -5.992e-16
153  32.280059	 32.280059 -5.884e-16
154  32.161904	 32.161904 -6.063e-16
155  32.043674	 32.043674 -6.486e-16
156  31.925409	 31.925409 -6.593e-16
157  31.807141	 31.807141 -6.132e-16
158  31.688903	 31.688903  -5.61e-16
159  31.570730	 31.570730 -5.386e-16
160  31.452658	 31.452658 -5.257e-16
161  31.334723	 31.334723 -5.154e-16
162  31.216964	 31.216964 -5.015e-16
163  31.099418	 31.099418 -4.813e-16
164  30.982119	 30.982119 -4.638e-16
165  30.865098	 30.865098 -4.888e-16
166  30.748392	 30.748392 -4.883e-16
167  30.632037	 30.632037 -4.508e-16
168  30.516069	 30.516069 -4.572e-16
169  30.400526	 30.400526 -4.811e-16
170  30.285446	 30.285446 -5.015e-16
171  30.170864	 30.170864 -5.539e-16
172  30.056817	 30.056817 -6.107e-16
173  29.943342	 29.943342 -6.295e-16
174  29.830476	 29.830476 -6.099e-16
175  29.718257	 29.718257 -5.713e-16
176  29.606720	 29.606720 -4.976e-16
177  29.495903	 29.495903 -4.835e-16
178  29.385844	 29.385844 -4.815e-16
179  29.276581	 29.276581 -4.753e-16
180  29.168155	 29.168155 -5.811e-16
181  29.060602	 29.060602  -6.86e-16
182  28.953958	 28.953958 -7.388e-16
183  28.848265	 28.848265 -7.451e-16
184  28.743559	 28.743559 -7.491e-16
185  28.639876	 28.639876 -7.852e-16
186  28.537254	 28.537254 -8.005e-16
187  28.435733	 28.435733 -8.018e-16
188  28.335351	 28.335351 -8.125e-16
189  28.236146	 28.236146 -7.681e-16
190  28.138153	 28.138153 -7.418e-16
191  28.041414	 28.041414 -6.762e-16
192  27.945962	 27.945962 -5.895e-16
193  27.851837	 27.851837 -6.368e-16
194  27.759075	 27.759075 -6.543e-16
195  27.667715	 27.667715 -5.956e-16
196  27.577791	 27.577791 -6.301e-16
197  27.489341	 27.489341 -6.389e-16
198  27.402399	 27.402399 -6.272e-16
199  27.317001	 27.317001 -6.157e-16
200  27.233182	 27.233182 -5.317e-16
